,Player,Caps,Goals,Country,overall,nationality
110,Majid Hosseini,1,0,Iran,,
111,Sardar Azmoun,33,23,Iran,,
112,Ashkan Dejagah,46,9,Iran,,
113,Amir Abedzadeh,1,0,Iran,,
114,Ramin Rezaeian,28,2,Iran,,
115,Yassine Bounou,11,0,Morocco,71,Morocco
116,Achraf Hakimi,10,1,Morocco,71,Morocco
117,Hamza Mendyl,13,0,Morocco,63,Morocco
118,Manuel da Costa,28,1,Morocco,,
119,Medhi Benatia,57,2,Morocco,84,Morocco
120,Romain Saiss,24,1,Morocco,,
121,Hakim Ziyech,18,9,Morocco,81,Morocco
122,Karim El Ahmadi,51,1,Morocco,80,Morocco
123,Ayoub El Kaabi,10,11,Morocco,,
124,Younes Belhanda,47,5,Morocco,,
125,Faycal Fajr,23,2,Morocco,,
126,Munir Mohand Mohamedi,27,0,Morocco,70,Morocco
127,Khalid Boutaib,18,7,Morocco,,
128,Mbark Boussoufa,59,7,Morocco,,
129,Youssef Ait Bennasser,14,0,Morocco,72,Morocco
130,Nordin Amrabat,44,4,Morocco,79,Morocco
131,Nabil Dirar,34,3,Morocco,76,Morocco
132,Amine Harit,6,0,Morocco,71,Morocco
133,Youssef En-Nesyri,16,2,Morocco,69,Morocco
134,Aziz Bouhaddouz,15,3,Morocco,73,Morocco
135,Sofyan Amrabat,6,0,Morocco,74,Morocco
136,Ahmed Reda Tagnaouti,2,0,Morocco,,
137,Mehdi Carcela,20,1,Morocco,,
138,Rui Patricio,69,0,Portugal,,
139,Bruno Alves,96,11,Portugal,,
140,Pepe (footballer,95,5,Portugal,,
141,Manuel Fernandes,14,3,Portugal,,
142,Raphael Guerreiro,24,2,Portugal,,
143,Jose Fonte,31,0,Portugal,,
144,Cristiano Ronaldo,150,81,Portugal,,
145,Joao Moutinho,110,7,Portugal,,
146,Andre Silva (footballer,23,12,Portugal,,
147,Joao Mario,36,2,Portugal,,
148,Bernardo Silva,25,2,Portugal,,
149,Anthony Lopes,7,0,Portugal,83,Portugal
150,Ruben Dias,1,0,Portugal,,
151,William Carvalho,43,2,Portugal,,
152,Ricardo Pereira,4,0,Portugal,,
153,Bruno Fernandes,6,1,Portugal,,
154,Goncalo Guedes,10,3,Portugal,,
155,Gelson Martins,18,0,Portugal,,
156,Mario Rui,4,0,Portugal,,
157,Ricardo Quaresma,77,9,Portugal,,
158,Cedric Soares,29,1,Portugal,,
159,Beto,14,0,Portugal,,
160,Adrien Silva,23,1,Portugal,,
161,David de Gea,29,0,Spain,,
162,Dani Carvajal,15,0,Spain,,
163,Gerard Pique,98,5,Spain,,
164,Nacho (footballer,17,0,Spain,,
165,Sergio Busquets,103,2,Spain,,
166,Andres Iniesta,127,14,Spain,,
167,Saul Niguez,10,0,Spain,,
168,Koke (footballer,40,0,Spain,,
169,Rodrigo,6,2,Spain,,
170,Thiago Alcantara,29,2,Spain,,
171,Lucas Vazquez,7,0,Spain,,
172,Alvaro Odriozola,4,1,Spain,,
173,Kepa Arrizabalaga,1,0,Spain,80,Spain
174,Cesar Azpilicueta,22,0,Spain,,
175,Sergio Ramos,152,13,Spain,,
176,Nacho Monreal,22,1,Spain,,
177,Iago Aspas,10,5,Spain,,
178,Jordi Alba,62,8,Spain,,
179,Diego Costa,20,7,Spain,,
180,Marco Asensio,12,0,Spain,,
181,David Silva,121,35,Spain,73,Colombia
182,Isco,28,10,Spain,,
183,Pepe Reina,36,0,Spain,,
184,Mathew Ryan,44,0,Australia,77,Australia
185,Milos Degenek,18,0,Australia,,
186,James Meredith,2,0,Australia,68,Australia
187,Tim Cahill,106,50,Australia,70,Australia
188,Mark Milligan,71,6,Australia,74,Australia
189,Matthew Jurman,4,0,Australia,69,Australia
190,Mathew Leckie,53,8,Australia,73,Australia
191,Massimo Luongo,36,5,Australia,71,Australia
192,Tomi Juric,35,8,Australia,,
193,Robbie Kruse,64,5,Australia,72,Australia
194,Andrew Nabbout,4,1,Australia,65,Australia
195,Brad Jones,6,0,Australia,77,Australia
196,Aaron Mooy,34,5,Australia,77,Australia
197,Jamie Maclaren,6,0,Australia,73,Australia
198,Mile Jedinak,76,18,Australia,,
199,Aziz Behich,23,2,Australia,73,Australia
200,Daniel Arzani,2,1,Australia,58,Australia
201,Danny Vukovic,1,0,Australia,70,Australia
202,Josh Risdon,8,0,Australia,70,Australia
203,Trent Sainsbury,35,3,Australia,74,Australia
204,Dimitri Petratos,2,0,Australia,66,Australia
205,Jackson Irvine,19,2,Australia,71,Australia
206,Tom Rogic,37,7,Australia,,
207,Kasper Schmeichel,35,0,Denmark,83,Denmark
208,Michael Krohn-Dehli,59,6,Denmark,79,Denmark
209,Jannik Vestergaard,16,1,Denmark,78,Denmark
210,Simon Kjær,78,3,Denmark,81,Denmark
211,Jonas Knudsen,3,0,Denmark,69,Denmark
212,Andreas Christensen,16,1,Denmark,81,Denmark
213,William Kvist,80,2,Denmark,70,Denmark
214,Thomas Delaney,27,4,Denmark,78,Denmark
215,Nicolai Jørgensen,31,8,Denmark,79,Denmark
216,Christian Eriksen,78,22,Denmark,87,Denmark
217,Martin Braithwaite,20,1,Denmark,77,Denmark
218,Kasper Dolberg,6,1,Denmark,78,Denmark
219,Mathias Jørgensen,12,0,Denmark,75,Denmark
220,Henrik Dalsgaard,11,0,Denmark,71,Denmark
221,Viktor Fischer,19,3,Denmark,75,Denmark
222,Jonas Lossl,1,0,Denmark,,
223,Jens Stryger Larsen,13,1,Denmark,69,Denmark
224,Lukas Lerager,4,0,Denmark,75,Denmark
225,Lasse Schone,36,3,Denmark,,
226,Yussuf Poulsen,28,4,Denmark,76,Denmark
227,Andreas Cornelius,18,4,Denmark,73,Denmark
228,Frederik Rønnow,6,0,Denmark,74,Denmark
229,Pione Sisto,14,1,Denmark,74,Denmark
230,Hugo Lloris,98,0,France,88,France
231,Benjamin Pavard,6,0,France,73,France
232,Presnel Kimpembe,2,0,France,77,France
233,Raphael Varane,42,2,France,,
234,Samuel Umtiti,19,2,France,83,France
235,Paul Pogba,54,9,France,87,France
236,Antoine Griezmann,54,20,France,88,France
237,Thomas Lemar,12,3,France,83,France
238,Olivier Giroud,74,31,France,82,France
239,Kylian Mbappe,15,4,France,,
240,Ousmane Dembele,12,2,France,,
241,Corentin Tolisso,9,0,France,82,France
242,N'Golo Kante,24,1,France,,
243,Blaise Matuidi,67,9,France,85,France
244,Steven Nzonzi,4,0,France,,
245,Steve Mandanda,27,0,France,81,France
246,Adil Rami,35,1,France,81,France
247,Nabil Fekir,12,2,France,82,France
248,Djibril Sidibe,17,1,France,,
249,Florian Thauvin,4,0,France,82,France
250,Lucas Hernandez,5,0,France,,
251,Benjamin Mendy,7,0,France,78,France
252,Alphonse Areola,0,0,France,80,France
253,Pedro Gallese,38,0,Peru,74,Peru
254,Alberto Junior Rodriguez,59,0,Peru,,
255,Aldo Corzo,25,0,Peru,68,Peru
256,Anderson Santamaria,4,0,Peru,,
257,Miguel Araujo,7,0,Peru,69,Peru
258,Miguel Trauco,27,0,Peru,,
259,Paolo Hurtado,31,3,Peru,76,Peru
260,Christian Cueva,44,8,Peru,,
261,Paolo Guerrero,88,34,Peru,,
262,Jefferson Farfan,84,25,Peru,,
263,Raul Ruidiaz,30,4,Peru,,
264,Carlos Caceda,4,0,Peru,,
265,Renato Tapia,23,1,Peru,72,Peru
266,Andy Polo,17,1,Peru,69,Peru
267,Christian Ramos,66,3,Peru,67,Peru
268,Wilder Cartagena,3,0,Peru,64,Peru
269,Luis Advincula,65,0,Peru,,
270,Andre Carrillo,45,5,Peru,,
271,Yoshimar Yotun,73,2,Peru,,
272,Edison Flores,29,9,Peru,65,Peru
273,Jose Carvallo,6,0,Peru,,
274,Nilson Loyola,3,0,Peru,64,Peru
275,Pedro Aquino,13,0,Peru,67,Peru
276,Nahuel Guzman,6,0,Argentina,,
277,Gabriel Mercado,20,3,Argentina,76,Argentina
278,Nicolas Tagliafico,4,0,Argentina,,
279,Cristian Ansaldi,5,0,Argentina,79,Argentina
280,Lucas Biglia,57,1,Argentina,83,Argentina
281,Federico Fazio,9,1,Argentina,82,Argentina
282,Ever Banega,62,6,Argentina,,
283,Marcos Acuna,10,0,Argentina,,
284,Gonzalo Higuain,71,31,Argentina,,
285,Lionel Messi,124,64,Argentina,93,Argentina
286,Angel Di Maria,94,19,Argentina,,
287,Franco Armani,0,0,Argentina,77,Argentina
288,Maximiliano Meza,2,0,Argentina,73,Argentina
289,Javier Mascherano,143,3,Argentina,83,Argentina
290,Enzo Perez,23,1,Argentina,,
291,Marcos Rojo,56,2,Argentina,82,Argentina
292,Nicolas Otamendi,54,4,Argentina,,
293,Eduardo Salvio,9,0,Argentina,80,Argentina
294,Sergio Aguero,85,37,Argentina,,
295,Giovani Lo Celso,5,0,Argentina,74,Argentina
296,Paulo Dybala,12,0,Argentina,88,Argentina
297,Cristian Pavon,5,0,Argentina,,
298,Willy Caballero,3,0,Argentina,79,Argentina
299,Dominik Livakovic,1,0,Croatia,,
300,Sime Vrsaljko,35,0,Croatia,,
301,Ivan Strinic,43,0,Croatia,,
302,Ivan Perisic,66,18,Croatia,,
303,Vedran Corluka,99,4,Croatia,,
304,Dejan Lovren,39,2,Croatia,81,Croatia
305,Ivan Rakitic,92,14,Croatia,,
306,Mateo Kovacic,41,1,Croatia,,
307,Andrej Kramaric,31,9,Croatia,,
308,Luka Modric,106,12,Croatia,,
309,Marcelo Brozovic,35,6,Croatia,,
310,Lovre Kalinic,11,0,Croatia,,
311,Tin Jedvaj,12,0,Croatia,76,Croatia
312,Filip Bradaric,4,0,Croatia,,
313,Duje Caleta-Car,1,0,Croatia,,
314,Nikola Kalinic,42,15,Croatia,,
315,Mario Mandzukic,83,30,Croatia,,
316,Ante Rebic,16,1,Croatia,,
317,Milan Badelj,38,1,Croatia,78,Croatia
318,Marko Pjaca,16,1,Croatia,76,Croatia
319,Domagoj Vida,59,2,Croatia,,
320,Josip Pivaric,19,0,Croatia,,
321,Danijel Subasic,38,0,Croatia,,
322,Hannes Þor Halldorsson,49,0,Iceland,,
323,Birkir Mar Sævarsson,79,1,Iceland,,
324,Samuel Friðjonsson,4,0,Iceland,,
325,Albert Guðmundsson,5,3,Iceland,66,Iceland
326,Sverrir Ingi Ingason,20,3,Iceland,72,Iceland
327,Ragnar Sigurðsson,77,3,Iceland,72,Iceland
328,Johann Berg Guðmundsson,67,7,Iceland,,
329,Birkir Bjarnason,67,9,Iceland,73,Iceland
330,Bjorn Bergmann Sigurðarson,12,1,Iceland,,
331,Gylfi Sigurðsson,57,19,Iceland,82,Iceland
332,Alfreð Finnbogason,47,13,Iceland,77,Iceland
333,Frederik Schram,4,0,Iceland,,
334,Runar Alex Runarsson,3,0,Iceland,,
335,Kari Arnason,67,5,Iceland,,
336,Holmar Orn Eyjolfsson,10,1,Iceland,,
337,Olafur Ingi Skulason,36,1,Iceland,,
338,Aron Gunnarsson,77,2,Iceland,72,Iceland
339,Horður Bjorgvin Magnusson,16,2,Iceland,,
340,Rurik Gislason,47,3,Iceland,,
341,Emil Hallfreðsson,64,1,Iceland,75,Iceland
342,Arnor Ingvi Traustason,19,5,Iceland,,
343,Jon Daði Boðvarsson,38,2,Iceland,,
344,Ari Freyr Skulason,56,0,Iceland,,
345,Ikechukwu Ezenwa,24,0,Nigeria,,
346,Brian Idowu,5,1,Nigeria,70,Russia
347,Elderson Echiejile,62,3,Nigeria,,
348,Wilfred Ndidi,17,0,Nigeria,,
349,William Troost-Ekong,22,1,Nigeria,71,Nigeria
350,Leon Balogun,19,0,Nigeria,75,Nigeria
351,Ahmed Musa,72,13,Nigeria,75,Nigeria
352,Oghenekaro Etebo,14,1,Nigeria,,
353,Odion Ighalo,19,4,Nigeria,,
354,John Obi Mikel,85,6,Nigeria,,
355,Victor Moses,34,11,Nigeria,79,Nigeria
356,Shehu Abdullahi,25,0,Nigeria,,
357,Simeon Nwankwo,2,0,Nigeria,,
358,Kelechi Iheanacho,18,8,Nigeria,75,Nigeria
359,Joel Obi,17,0,Nigeria,73,Nigeria
360,Daniel Akpeyi,7,0,Nigeria,,
361,Ogenyi Onazi,52,1,Nigeria,74,Nigeria
362,Alex Iwobi,19,5,Nigeria,74,Nigeria
363,John Ogu,20,2,Nigeria,,
364,Chidozie Awaziem,4,0,Nigeria,72,Nigeria
365,Tyronne Ebuehi,7,0,Nigeria,66,Nigeria
366,Kenneth Omeruo,39,0,Nigeria,72,Nigeria
367,Francis Uzoho,6,0,Nigeria,63,Nigeria
368,Alisson (footballer,26,0,Brazil,,
369,Thiago Silva,71,5,Brazil,,
370,Miranda,47,2,Brazil,,
371,Pedro Geromel,2,0,Brazil,,
372,Casemiro,24,0,Brazil,,
373,Filipe Luis,33,2,Brazil,,
374,Douglas Costa,25,3,Brazil,,
375,Renato Augusto,28,5,Brazil,80,Brazil
376,Gabriel Jesus,17,10,Brazil,,
377,Neymar,85,55,Brazil,,
378,Philippe Coutinho,37,10,Brazil,,
379,Marcelo,54,6,Brazil,,
380,Marquinhos,26,0,Brazil,,
381,Danilo (footballer,18,0,Brazil,,
382,Paulinho,50,12,Brazil,,
383,Cassio Ramos,1,0,Brazil,,
384,Fernandinho,44,2,Brazil,,
385,Fred,8,0,Brazil,,
386,Willian,57,8,Brazil,,
387,Roberto Firmino,21,6,Brazil,,
388,Taison,8,1,Brazil,,
389,Fagner Conserva Lemos,4,0,Brazil,,
390,Ederson Moraes,1,0,Brazil,,
391,Keylor Navas,81,0,Costa Rica,85,Costa Rica
392,Johnny Acosta,69,2,Costa Rica,,
393,Giancarlo Gonzalez,70,2,Costa Rica,,
394,Ian Smith (footballer,4,0,Costa Rica,,
395,Celso Borges,113,21,Costa Rica,78,Costa Rica
396,Oscar Duarte,39,2,Costa Rica,,
397,Christian Bolanos,81,6,Costa Rica,,
398,Bryan Oviedo,44,1,Costa Rica,72,Costa Rica
399,Daniel Colindres,11,0,Costa Rica,,
400,Bryan Ruiz,110,24,Costa Rica,,
401,Johan Venegas,47,10,Costa Rica,67,Costa Rica
402,Joel Campbell,77,15,Costa Rica,77,Costa Rica
403,Rodney Wallace,30,4,Costa Rica,68,Costa Rica
404,Randall Azofeifa,58,3,Costa Rica,,
405,Francisco Calvo,38,4,Costa Rica,71,Costa Rica
406,Cristian Gamboa,68,3,Costa Rica,72,Costa Rica
407,Yeltsin Tejeda,51,0,Costa Rica,68,Costa Rica
408,Patrick Pemberton,39,0,Costa Rica,,
409,Kendall Waston,26,3,Costa Rica,74,Costa Rica
410,David Guzman,43,0,Costa Rica,72,Costa Rica
411,Marco Urena,64,15,Costa Rica,,
412,Kenner Gutierrez,9,0,Costa Rica,,
413,Leonel Moreira,9,0,Costa Rica,,
414,Vladimir Stojkovic,81,0,Serbia,,
415,Antonio Rukavina,47,0,Serbia,77,Serbia
416,Dusko Tosic,24,1,Serbia,,
417,Luka Milivojevic,28,1,Serbia,,
418,Uros Spajic,5,0,Serbia,,
419,Branislav Ivanovic,103,13,Serbia,,
420,Andrija Zivkovic,10,0,Serbia,,
421,Aleksandar Prijovic,9,1,Serbia,,
422,Aleksandar Mitrovic,37,16,Serbia,,
423,Dusan Tadic,53,13,Serbia,,
424,Aleksandar Kolarov,76,10,Serbia,79,Serbia
425,Predrag Rajkovic,8,0,Serbia,,
426,Milos Veljkovic,2,0,Serbia,,
427,Milan Rodic,1,0,Serbia,,
428,Nikola Milenkovic,3,0,Serbia,,
429,Marko Grujic,8,0,Serbia,,
430,Filip Kostic,23,2,Serbia,,
431,Nemanja Radonjic,3,0,Serbia,,
432,Luka Jovic,1,0,Serbia,,
433,Sergej Milinkovic-Savic,4,0,Serbia,,
434,Nemanja Matic,40,2,Serbia,,
435,Adem Ljajic,29,6,Serbia,,
436,Marko Dmitrovic,2,0,Serbia,,
437,Yann Sommer,35,0,Switzerland,83,Switzerland
438,Stephan Lichtsteiner,100,8,Switzerland,82,Switzerland
439,Francois Moubandje,18,0,Switzerland,,
440,Nico Elvedi,6,0,Switzerland,74,Switzerland
441,Manuel Akanji,7,0,Switzerland,72,Switzerland
442,Michael Lang,24,2,Switzerland,77,Switzerland
443,Breel Embolo,25,3,Switzerland,76,Switzerland
444,Remo Freuler,10,0,Switzerland,75,Switzerland
445,Haris Seferovic,51,12,Switzerland,,
446,Granit Xhaka,62,9,Switzerland,82,Switzerland
447,Valon Behrami,79,2,Switzerland,77,Switzerland
448,Yvon Mvogo,0,0,Switzerland,75,Switzerland
449,Ricardo Rodriguez,53,5,Switzerland,,
450,Steven Zuber,12,3,Switzerland,75,Switzerland
451,Blerim Dzemaili,65,9,Switzerland,,
452,Gelson Fernandes,67,2,Switzerland,,
453,Denis Zakaria,10,0,Switzerland,72,Switzerland
454,Mario Gavranovic,14,5,Switzerland,,
455,Josip Drmic,29,9,Switzerland,,
456,Johan Djourou,74,2,Switzerland,73,Switzerland
457,Roman Burki,9,0,Switzerland,,
458,Fabian Schar,39,7,Switzerland,,
459,Xherdan Shaqiri,70,20,Switzerland,82,Switzerland
460,Manuel Neuer,76,0,Germany,92,Germany
461,Marvin Plattenhardt,6,0,Germany,78,Germany
462,Jonas Hector,38,3,Germany,80,Germany
463,Matthias Ginter,18,0,Germany,78,Germany
464,Mats Hummels,64,5,Germany,88,Germany
465,Sami Khedira,75,7,Germany,84,Germany
466,Julian Draxler,44,6,Germany,84,Germany
467,Toni Kroos,83,12,Germany,90,Germany
468,Timo Werner,14,8,Germany,82,Germany
469,Mesut Ozil,90,23,Germany,,
470,Marco Reus,31,9,Germany,86,Germany
471,Kevin Trapp,3,0,Germany,81,Germany
472,Thomas Muller,91,38,Germany,,
473,Leon Goretzka,15,6,Germany,83,Germany
474,Niklas Sule,11,0,Germany,,
475,Antonio Rudiger,24,1,Germany,,
476,Jerome Boateng,71,1,Germany,,
477,Joshua Kimmich,29,3,Germany,81,Germany
478,Sebastian Rudy,25,1,Germany,81,Germany
479,Julian Brandt,16,1,Germany,80,Germany
480,Ilkay Gundogan,26,4,Germany,,
481,Marc-Andre ter Stegen,20,0,Germany,,
482,Mario Gomez,75,31,Germany,,
483,Jose de Jesus Corona,52,0,Mexico,,
484,Hugo Ayala,43,1,Mexico,75,Mexico
485,Carlos Salcedo,21,0,Mexico,74,Mexico
486,Rafael Marquez,145,18,Mexico,,
487,Erick Gutierrez,9,0,Mexico,,
488,Jonathan dos Santos,32,0,Mexico,80,Mexico
489,Miguel Layun,64,6,Mexico,,
490,Marco Fabian,39,9,Mexico,,
491,Raul Jimenez,63,13,Mexico,,
492,Giovani dos Santos,105,19,Mexico,78,Mexico
493,Carlos Vela,68,18,Mexico,82,Mexico
494,Alfredo Talavera,27,0,Mexico,,
495,Guillermo Ochoa,94,0,Mexico,79,Mexico
496,Javier Hernandez,102,49,Mexico,,
497,Hector Moreno,92,3,Mexico,,
498,Hector Herrera,66,5,Mexico,,
499,Jesus Manuel Corona,36,7,Mexico,,
500,Andres Guardado,145,25,Mexico,,
501,Oribe Peralta,67,26,Mexico,76,Mexico
502,Javier Aquino,53,0,Mexico,77,Mexico
503,Edson Alvarez,13,1,Mexico,,
504,Hirving Lozano,28,7,Mexico,78,Mexico
505,Jesus Gallardo,23,0,Mexico,,
506,Kim Seung-gyu,33,0,South Korea,,
507,Lee Yong,28,0,South Korea,,
508,Jung Seung-hyun,6,0,South Korea,,
509,Oh Ban-suk,2,0,South Korea,,
510,Yun Young-sun,6,0,South Korea,,
511,Park Joo-ho,36,0,South Korea,,
512,Son Heung-min,67,21,South Korea,,
513,Ju Se-jong,11,1,South Korea,,
514,Kim Shin-wook,50,10,South Korea,,
515,Lee Seung-woo,4,0,South Korea,,
516,Hwang Hee-chan,14,2,South Korea,,
517,Kim Min-woo,20,1,South Korea,,
518,Koo Ja-cheol,68,19,South Korea,,
519,Hong Chul,14,0,South Korea,,
520,Jung Woo-young,30,1,South Korea,,
521,Ki Sung-yueng,102,10,South Korea,,
522,Lee Jae-sung,35,6,South Korea,,
523,Moon Seon-min,3,1,South Korea,,
524,Kim Young-gwon,53,2,South Korea,,
525,Jang Hyun-soo,51,3,South Korea,,
526,Kim Jin-hyeon,15,0,South Korea,,
527,Go Yo-han,20,0,South Korea,,
528,Jo Hyeon-woo,6,0,South Korea,,
529,Robin Olsen,18,0,Sweden,74,Sweden
530,Mikael Lustig,66,6,Sweden,73,Sweden
531,Victor Lindelof,21,1,Sweden,,
532,Andreas Granqvist,72,6,Sweden,80,Sweden
533,Martin Olsson,43,5,Sweden,75,Sweden
534,Ludwig Augustinsson,15,0,Sweden,73,Sweden
535,Sebastian Larsson,100,6,Sweden,74,Sweden
536,Albin Ekdal,34,0,Sweden,76,Sweden
537,Marcus Berg,57,18,Sweden,80,Sweden
538,Emil Forsberg,36,6,Sweden,83,Sweden
539,John Guidetti,20,1,Sweden,79,Sweden
540,Karl-Johan Johnsson,5,0,Sweden,75,Sweden
541,Gustav Svensson,13,0,Sweden,74,Sweden
542,Filip Helander,4,0,Sweden,73,Sweden
543,Oscar Hiljemark,22,2,Sweden,73,Sweden
544,Emil Krafth,13,0,Sweden,73,Sweden
545,Viktor Claesson,22,3,Sweden,73,Sweden
546,Pontus Jansson,15,0,Sweden,77,Sweden
547,Marcus Rohden,12,1,Sweden,,
548,Ola Toivonen,59,13,Sweden,75,Sweden
549,Jimmy Durmaz,45,3,Sweden,75,Sweden
550,Isaac Kiese Thelin,20,2,Sweden,71,Sweden
551,Kristoffer Nordfeldt,8,0,Sweden,73,Sweden
552,Thibaut Courtois,58,0,Belgium,89,Belgium
553,Toby Alderweireld,77,3,Belgium,86,Belgium
554,Thomas Vermaelen,66,1,Belgium,,
555,Vincent Kompany,77,4,Belgium,85,Belgium
556,Jan Vertonghen,102,8,Belgium,85,Belgium
557,Axel Witsel,90,9,Belgium,82,Belgium
558,Kevin De Bruyne,62,14,Belgium,89,Belgium
559,Marouane Fellaini,82,17,Belgium,79,Belgium
560,Romelu Lukaku,69,36,Belgium,86,Belgium
561,Eden Hazard,86,22,Belgium,90,Belgium
