No., Pos.,Player,Date of birth (age),Caps,Goals,Club,Country
9,FW,Ayoub El Kaabi,(1993-06-25)25 June 1993 (aged 24),10,11,RS Berkane,Morocco
10,MF,Younes Belhanda,(1990-02-25)25 February 1990 (aged 28),47,5,Galatasaray,Morocco
11,MF,Faycal Fajr,(1988-08-01)1 August 1988 (aged 29),23,2,Getafe,Morocco
12,GK,Munir Mohand Mohamedi,(1989-05-10)10 May 1989 (aged 29),27,0,Numancia,Morocco
13,FW,Khalid Boutaib,(1987-04-24)24 April 1987 (aged 31),18,7,Yeni Malatyaspor,Morocco
14,MF,Mbark Boussoufa,(1984-08-15)15 August 1984 (aged 33),59,7,Al-Jazira,Morocco
15,MF,Youssef Ait Bennasser,(1996-07-07)7 July 1996 (aged 21),14,0,Caen,Morocco
16,MF,Nordin Amrabat,(1987-03-31)31 March 1987 (aged 31),44,4,Leganes,Morocco
17,DF,Nabil Dirar,(1986-02-25)25 February 1986 (aged 32),34,3,Fenerbahce,Morocco
18,MF,Amine Harit,(1997-06-18)18 June 1997 (aged 20),6,0,Schalke 04,Morocco
19,FW,Youssef En-Nesyri,(1997-06-01)1 June 1997 (aged 21),16,2,Malaga,Morocco
20,FW,Aziz Bouhaddouz,(1987-03-30)30 March 1987 (aged 31),15,3,FC St. Pauli,Morocco
21,MF,Sofyan Amrabat,(1996-08-21)21 August 1996 (aged 21),6,0,Feyenoord,Morocco
22,GK,Ahmed Reda Tagnaouti,(1996-04-05)5 April 1996 (aged 22),2,0,IR Tanger,Morocco
23,MF,Mehdi Carcela,(1989-07-01)1 July 1989 (aged 28),20,1,Standard Liege,Morocco
1,GK,Rui Patricio,(1988-02-15)15 February 1988 (aged 30),69,0,Sporting CP,Portugal
2,DF,Bruno Alves,(1981-11-27)27 November 1981 (aged 36),96,11,Rangers,Portugal
3,DF,Pepe (footballer,(1983-02-26)26 February 1983 (aged 35),95,5,Besiktas,Portugal
4,MF,Manuel Fernandes,(1986-02-05)5 February 1986 (aged 32),14,3,Lokomotiv Moscow,Portugal
5,DF,Raphael Guerreiro,(1993-12-22)22 December 1993 (aged 24),24,2,Borussia Dortmund,Portugal
6,DF,Jose Fonte,(1983-12-22)22 December 1983 (aged 34),31,0,Dalian Yifang,Portugal
7,FW,Cristiano Ronaldo,(1985-02-05)5 February 1985 (aged 33),150,81,Real Madrid,Portugal
8,MF,Joao Moutinho,(1986-09-08)8 September 1986 (aged 31),110,7,Monaco,Portugal
9,FW,Andre Silva (footballer,(1995-11-06)6 November 1995 (aged 22),23,12,Milan,Portugal
10,MF,Joao Mario,(1993-01-19)19 January 1993 (aged 25),36,2,West Ham United,Portugal
11,MF,Bernardo Silva,(1994-08-10)10 August 1994 (aged 23),25,2,Manchester City,Portugal
12,GK,Anthony Lopes,(1990-10-01)1 October 1990 (aged 27),7,0,Lyon,Portugal
13,DF,Ruben Dias,(1997-05-14)14 May 1997 (aged 21),1,0,Benfica,Portugal
14,MF,William Carvalho,(1992-04-07)7 April 1992 (aged 26),43,2,Sporting CP,Portugal
15,DF,Ricardo Pereira,(1993-10-06)6 October 1993 (aged 24),4,0,Porto,Portugal
16,MF,Bruno Fernandes,(1994-09-08)8 September 1994 (aged 23),6,1,Sporting CP,Portugal
17,FW,Goncalo Guedes,(1996-11-29)29 November 1996 (aged 21),10,3,Valencia,Portugal
18,FW,Gelson Martins,(1995-05-11)11 May 1995 (aged 23),18,0,Sporting CP,Portugal
19,DF,Mario Rui,(1991-05-27)27 May 1991 (aged 27),4,0,Napoli,Portugal
20,FW,Ricardo Quaresma,(1983-09-26)26 September 1983 (aged 34),77,9,Besiktas,Portugal
21,DF,Cedric Soares,(1991-08-31)31 August 1991 (aged 26),29,1,Southampton,Portugal
22,GK,Beto,(1982-05-01)1 May 1982 (aged 36),14,0,Goztepe,Portugal
23,MF,Adrien Silva,(1989-03-15)15 March 1989 (aged 29),23,1,Leicester City,Portugal
1,GK,David de Gea,(1990-11-07)7 November 1990 (aged 27),29,0,Manchester United,Spain
2,DF,Dani Carvajal,(1992-01-11)11 January 1992 (aged 26),15,0,Real Madrid,Spain
3,DF,Gerard Pique,(1987-02-02)2 February 1987 (aged 31),98,5,Barcelona,Spain
4,DF,Nacho (footballer,(1990-01-18)18 January 1990 (aged 28),17,0,Real Madrid,Spain
5,MF,Sergio Busquets,(1988-07-16)16 July 1988 (aged 29),103,2,Barcelona,Spain
6,MF,Andres Iniesta,(1984-05-11)11 May 1984 (aged 34),127,14,Barcelona,Spain
7,MF,Saul Niguez,(1994-11-21)21 November 1994 (aged 23),10,0,Atletico Madrid,Spain
8,MF,Koke (footballer,(1992-01-08)8 January 1992 (aged 26),40,0,Atletico Madrid,Spain
9,FW,Rodrigo,(1991-03-06)6 March 1991 (aged 27),6,2,Valencia,Spain
10,MF,Thiago Alcantara,(1991-04-11)11 April 1991 (aged 27),29,2,Bayern Munich,Spain
11,FW,Lucas Vazquez,(1991-07-01)1 July 1991 (aged 26),7,0,Real Madrid,Spain
12,DF,Alvaro Odriozola,(1995-12-14)14 December 1995 (aged 22),4,1,Real Sociedad,Spain
13,GK,Kepa Arrizabalaga,(1994-10-03)3 October 1994 (aged 23),1,0,Athletic Bilbao,Spain
14,DF,Cesar Azpilicueta,(1989-08-28)28 August 1989 (aged 28),22,0,Chelsea,Spain
15,DF,Sergio Ramos,(1986-03-30)30 March 1986 (aged 32),152,13,Real Madrid,Spain
16,DF,Nacho Monreal,(1986-02-26)26 February 1986 (aged 32),22,1,Arsenal,Spain
17,FW,Iago Aspas,(1987-08-01)1 August 1987 (aged 30),10,5,Celta Vigo,Spain
18,DF,Jordi Alba,(1989-03-21)21 March 1989 (aged 29),62,8,Barcelona,Spain
19,FW,Diego Costa,(1988-10-07)7 October 1988 (aged 29),20,7,Atletico Madrid,Spain
20,MF,Marco Asensio,(1996-01-21)21 January 1996 (aged 22),12,0,Real Madrid,Spain
21,FW,David Silva,(1986-01-08)8 January 1986 (aged 32),121,35,Manchester City,Spain
22,MF,Isco,(1992-04-21)21 April 1992 (aged 26),28,10,Real Madrid,Spain
23,GK,Pepe Reina,(1982-08-31)31 August 1982 (aged 35),36,0,Napoli,Spain
1,GK,Mathew Ryan,(1992-04-08)8 April 1992 (aged 26),44,0,Brighton & Hove Albion,Australia
2,DF,Milos Degenek,(1994-04-28)28 April 1994 (aged 24),18,0,Yokohama F. Marinos,Australia
3,DF,James Meredith,(1988-04-05)5 April 1988 (aged 30),2,0,Millwall,Australia
4,FW,Tim Cahill,(1979-12-06)6 December 1979 (aged 38),106,50,Millwall,Australia
5,DF,Mark Milligan,(1985-08-04)4 August 1985 (aged 32),71,6,Al-Ahli,Australia
6,DF,Matthew Jurman,(1989-12-08)8 December 1989 (aged 28),4,0,Suwon Samsung Bluewings,Australia
7,FW,Mathew Leckie,(1991-02-04)4 February 1991 (aged 27),53,8,Hertha BSC,Australia
8,MF,Massimo Luongo,(1992-09-25)25 September 1992 (aged 25),36,5,Queens Park Rangers,Australia
9,FW,Tomi Juric,(1991-07-22)22 July 1991 (aged 26),35,8,Luzern,Australia
10,FW,Robbie Kruse,(1988-10-05)5 October 1988 (aged 29),64,5,VfL Bochum,Australia
11,FW,Andrew Nabbout,(1992-12-17)17 December 1992 (aged 25),4,1,Urawa Red Diamonds,Australia
12,GK,Brad Jones,(1982-03-19)19 March 1982 (aged 36),6,0,Feyenoord,Australia
13,MF,Aaron Mooy,(1990-09-15)15 September 1990 (aged 27),34,5,Huddersfield Town,Australia
14,FW,Jamie Maclaren,(1993-07-29)29 July 1993 (aged 24),6,0,Hibernian,Australia
15,MF,Mile Jedinak,(1984-08-03)3 August 1984 (aged 33),76,18,Aston Villa,Australia
16,DF,Aziz Behich,(1990-12-16)16 December 1990 (aged 27),23,2,Bursaspor,Australia
17,FW,Daniel Arzani,(1999-01-04)4 January 1999 (aged 19),2,1,Melbourne City,Australia
18,GK,Danny Vukovic,(1985-03-27)27 March 1985 (aged 33),1,0,Genk,Australia
19,DF,Josh Risdon,(1992-07-27)27 July 1992 (aged 25),8,0,Western Sydney Wanderers,Australia
20,DF,Trent Sainsbury,(1992-01-05)5 January 1992 (aged 26),35,3,Grasshoppers,Australia
21,FW,Dimitri Petratos,(1992-11-10)10 November 1992 (aged 25),2,0,Newcastle Jets,Australia
22,MF,Jackson Irvine,(1993-03-07)7 March 1993 (aged 25),19,2,Hull City,Australia
23,MF,Tom Rogic,(1992-12-16)16 December 1992 (aged 25),37,7,Celtic,Australia
1,GK,Kasper Schmeichel,(1986-11-05)5 November 1986 (aged 31),35,0,Leicester City,Denmark
2,MF,Michael Krohn-Dehli,(1983-06-06)6 June 1983 (aged 35),59,6,Deportivo La Coruna,Denmark
3,DF,Jannik Vestergaard,(1992-08-03)3 August 1992 (aged 25),16,1,Borussia Monchengladbach,Denmark
4,DF,Simon Kjær,(1989-03-26)26 March 1989 (aged 29),78,3,Sevilla,Denmark
5,DF,Jonas Knudsen,(1992-09-16)16 September 1992 (aged 25),3,0,Ipswich Town,Denmark
6,DF,Andreas Christensen,(1996-04-10)10 April 1996 (aged 22),16,1,Chelsea,Denmark
7,MF,William Kvist,(1985-02-24)24 February 1985 (aged 33),80,2,Copenhagen,Denmark
8,MF,Thomas Delaney,(1991-09-03)3 September 1991 (aged 26),27,4,Werder Bremen,Denmark
9,FW,Nicolai Jørgensen,(1991-01-15)15 January 1991 (aged 27),31,8,Feyenoord,Denmark
10,MF,Christian Eriksen,(1992-02-14)14 February 1992 (aged 26),78,22,Tottenham Hotspur,Denmark
11,FW,Martin Braithwaite,(1991-06-05)5 June 1991 (aged 27),20,1,Bordeaux,Denmark
12,FW,Kasper Dolberg,(1997-10-06)6 October 1997 (aged 20),6,1,Ajax,Denmark
13,DF,Mathias Jørgensen,(1990-04-23)23 April 1990 (aged 28),12,0,Huddersfield Town,Denmark
14,DF,Henrik Dalsgaard,(1989-07-27)27 July 1989 (aged 28),11,0,Brentford,Denmark
15,FW,Viktor Fischer,(1994-06-09)9 June 1994 (aged 24),19,3,Copenhagen,Denmark
16,GK,Jonas Lossl,(1989-02-01)1 February 1989 (aged 29),1,0,Huddersfield Town,Denmark
17,DF,Jens Stryger Larsen,(1991-02-21)21 February 1991 (aged 27),13,1,Udinese,Denmark
18,MF,Lukas Lerager,(1993-07-12)12 July 1993 (aged 24),4,0,Bordeaux,Denmark
19,MF,Lasse Schone,(1986-05-27)27 May 1986 (aged 32),36,3,Ajax,Denmark
20,FW,Yussuf Poulsen,(1994-06-15)15 June 1994 (aged 23),28,4,RB Leipzig,Denmark
21,FW,Andreas Cornelius,(1993-03-16)16 March 1993 (aged 25),18,4,Atalanta,Denmark
22,GK,Frederik Rønnow,(1992-08-04)4 August 1992 (aged 25),6,0,Brøndby,Denmark
23,FW,Pione Sisto,(1995-02-04)4 February 1995 (aged 23),14,1,Celta Vigo,Denmark
1,GK,Hugo Lloris,(1986-12-26)26 December 1986 (aged 31),98,0,Tottenham Hotspur,France
2,DF,Benjamin Pavard,(1996-03-28)28 March 1996 (aged 22),6,0,VfB Stuttgart,France
3,DF,Presnel Kimpembe,(1995-08-13)13 August 1995 (aged 22),2,0,Paris Saint-Germain,France
4,DF,Raphael Varane,(1993-04-25)25 April 1993 (aged 25),42,2,Real Madrid,France
5,DF,Samuel Umtiti,(1993-11-14)14 November 1993 (aged 24),19,2,Barcelona,France
6,MF,Paul Pogba,(1993-03-15)15 March 1993 (aged 25),54,9,Manchester United,France
7,FW,Antoine Griezmann,(1991-03-21)21 March 1991 (aged 27),54,20,Atletico Madrid,France
8,FW,Thomas Lemar,(1995-11-12)12 November 1995 (aged 22),12,3,Monaco,France
9,FW,Olivier Giroud,(1986-09-30)30 September 1986 (aged 31),74,31,Chelsea,France
10,FW,Kylian Mbappe,(1998-12-20)20 December 1998 (aged 19),15,4,Paris Saint-Germain,France
11,FW,Ousmane Dembele,(1997-05-15)15 May 1997 (aged 21),12,2,Barcelona,France
12,MF,Corentin Tolisso,(1994-08-03)3 August 1994 (aged 23),9,0,Bayern Munich,France
13,MF,N'Golo Kante,(1991-03-29)29 March 1991 (aged 27),24,1,Chelsea,France
14,MF,Blaise Matuidi,(1987-04-09)9 April 1987 (aged 31),67,9,Juventus,France
15,MF,Steven Nzonzi,(1988-12-15)15 December 1988 (aged 29),4,0,Sevilla,France
16,GK,Steve Mandanda,(1985-03-28)28 March 1985 (aged 33),27,0,Marseille,France
17,DF,Adil Rami,(1985-12-27)27 December 1985 (aged 32),35,1,Marseille,France
18,FW,Nabil Fekir,(1993-07-18)18 July 1993 (aged 24),12,2,Lyon,France
19,DF,Djibril Sidibe,(1992-07-29)29 July 1992 (aged 25),17,1,Monaco,France
20,FW,Florian Thauvin,(1993-01-26)26 January 1993 (aged 25),4,0,Marseille,France
21,DF,Lucas Hernandez,(1996-02-14)14 February 1996 (aged 22),5,0,Atletico Madrid,France
22,DF,Benjamin Mendy,(1994-07-17)17 July 1994 (aged 23),7,0,Manchester City,France
23,GK,Alphonse Areola,(1993-02-27)27 February 1993 (aged 25),0,0,Paris Saint-Germain,France
1,GK,Pedro Gallese,(1990-02-23)23 February 1990 (aged 28),38,0,Veracruz,Peru
2,DF,Alberto Junior Rodriguez,(1984-03-31)31 March 1984 (aged 34),59,0,Atletico Junior,Peru
3,DF,Aldo Corzo,(1989-05-20)20 May 1989 (aged 29),25,0,Universitario,Peru
4,DF,Anderson Santamaria,(1992-01-10)10 January 1992 (aged 26),4,0,Puebla,Peru
5,DF,Miguel Araujo,(1994-10-24)24 October 1994 (aged 23),7,0,Alianza Lima,Peru
6,DF,Miguel Trauco,(1992-08-25)25 August 1992 (aged 25),27,0,Flamengo,Peru
7,MF,Paolo Hurtado,(1990-07-27)27 July 1990 (aged 27),31,3,Vitoria de Guimaraes,Peru
8,MF,Christian Cueva,(1991-11-23)23 November 1991 (aged 26),44,8,Sao Paulo,Peru
9,FW,Paolo Guerrero,(1984-01-01)1 January 1984 (aged 34),88,34,Flamengo,Peru
10,FW,Jefferson Farfan,(1984-10-26)26 October 1984 (aged 33),84,25,Lokomotiv Moscow,Peru
11,FW,Raul Ruidiaz,(1990-07-25)25 July 1990 (aged 27),30,4,Morelia,Peru
12,GK,Carlos Caceda,(1991-09-27)27 September 1991 (aged 26),4,0,Deportivo Municipal,Peru
13,MF,Renato Tapia,(1995-07-28)28 July 1995 (aged 22),23,1,Feyenoord,Peru
14,MF,Andy Polo,(1994-09-29)29 September 1994 (aged 23),17,1,Portland Timbers,Peru
